ID,up_name,up_desc,up_type,up_stat,up_value,up_class,up_category
61048,StatUpName_61048,StatUpDesc_61048,0,10,15,5,0
61049,StatUpName_61049,StatUpDesc_61049,0,12,5,0,4
61050,StatUpName_61050,StatUpDesc_61050,0,12,8,1,4
61051,StatUpName_61051,StatUpDesc_61051,0,12,12,2,4
61052,StatUpName_61052,StatUpDesc_61052,0,13,5,0,4
61053,StatUpName_61053,StatUpDesc_61053,0,13,8,1,4
61054,StatUpName_61054,StatUpDesc_61054,0,13,12,2,4
61055,StatUpName_61055,StatUpDesc_61055,0,9,-8,1,4
61055,StatUpName_61055,StatUpDesc_61055,0,14,6,1,0
61056,StatUpName_61056,StatUpDesc_61056,0,9,-5,2,4
61056,StatUpName_61056,StatUpDesc_61056,0,14,6,2,0
61057,StatUpName_61057,StatUpDesc_61057,0,13,-20,2,4
61057,StatUpName_61057,StatUpDesc_61057,0,14,6,2,0
61058,StatUpName_61058,StatUpDesc_61058,0,3,25,2,4
61058,StatUpName_61058,StatUpDesc_61058,0,14,6,2,0
61059,StatUpName_61059,StatUpDesc_61059,2,4,1,3,1
61059,StatUpName_61059,StatUpDesc_61059,1,5,-10,3,0
61060,StatUpName_61060,StatUpDesc_61060,2,4,2,4,1
61060,StatUpName_61060,StatUpDesc_61060,1,5,-25,4,0
61060,StatUpName_61060,StatUpDesc_61060,1,6,-5,4,0
61061,StatUpName_61061,StatUpDesc_61061,0,15,8,0,1
61062,StatUpName_61062,StatUpDesc_61062,0,15,15,1,1
61063,StatUpName_61063,StatUpDesc_61063,1,16,5,0,1
61064,StatUpName_61064,StatUpDesc_61064,1,16,10,1,1
61065,StatUpName_61065,StatUpDesc_61065,1,15,10,2,1
61066,StatUpName_61066,StatUpDesc_61066,1,15,20,3,1
61067,StatUpName_61067,StatUpDesc_61067,0,15,15,4,1
61067,StatUpName_61067,StatUpDesc_61067,1,16,15,4,0
61068,StatUpName_61068,StatUpDesc_61068,1,15,25,5,1
61068,StatUpName_61068,StatUpDesc_61068,1,16,25,5,0
